state_abbrev,fips,local_voter_score,partisan_score,p_turnout_score,m_turnout_score,offyear_m_turnout_score,pp_turnout_score,nonpp_turnout_score,climate_score,yale_score,biden_support_score
MS,079,41.844092686182904,50.718422809192333,60.522952226566197,50.441241537141224,21.905711833698859,28.982454467435872,22.725526842757695,43.252426814150851,18.225555449604276,35.684237627538863
OH,129,38.707717421721973,37.685597462765436,66.312213550573688,56.639880600727579,26.273766362986223,30.096446006032139,21.383486210005906,32.268191287584351,13.504035944155961,27.418951525139136
TX,001,37.776410279369642,33.836618348948214,61.446318720169693,50.894758706027922,14.395867951210887,27.574222202580867,23.880329680042436,28.510310709169058,12.190978689111748,21.688919233524356
OK,115,37.540400077185289,40.315852258229135,58.079114570043366,47.609728247001797,16.055371268180657,20.729963000765512,27.525912222505735,34.323998199009452,18.64106258442143,34.252653244999038
AR,133,37.377751052315084,24.281535703615184,54.044905885867941,46.275470570660296,7.486928592769643,21.995548252166124,20.266342993725718,28.247459410703552,13.278653036680698,26.004765484064951
TX,455,38.1291847133758,26.442369049114433,63.016518025373699,49.988732571285006,13.838073106393669,28.725775656324583,25.527496545660089,25.391350318471343,11.192216560509554,17.277898089171977
NY,015,31.517988465084354,44.875319997427141,64.03173602624301,56.734428935914735,29.377123132008322,20.028910186316747,15.027462961771835,38.719004738320351,18.851223172745009,36.689136167749417
WI,073,38.159642865927175,33.394456214256849,73.178901284610347,65.186840397261761,15.029186005216816,30.292945051984468,33.657098421484456,31.224839511031323,17.015679956711015,34.417345106623699
AR,021,40.426713608277055,22.150071225071226,54.311894586894596,47.384558404558419,7.8385612535612532,26.144330484330489,22.490940170940171,30.114686018106056,12.839545911768932,25.740221296163245
MO,043,36.025693310014802,20.395794953944726,69.043230924728704,58.917102427675125,11.704601712531227,27.833215096210662,28.578187157922837,27.546309073088217,13.026848346241808,25.847245017584985
MA,015,39.067284348095683,77.432182652905453,71.105367102281363,61.092385548393189,21.553860063170028,29.496411755726999,30.744803738537239,64.916088335598943,41.162323817700504,61.963702272781475
LA,115,42.432582547717438,32.313791502205724,56.100208962154625,49.075328534943111,28.05706059902484,17.266408172742047,23.058890178778736,30.239144568801379,15.286202572795247,25.84932429294571
VA,069,33.953809195666324,44.353444586274207,68.558918381138284,61.375944210842455,29.28598513290283,21.595866496470897,19.002528532812732,38.448237050648906,14.466184296160176,29.821513341755683
NC,163,32.969928566704148,51.643398524957192,63.421961016725938,53.640138943764008,6.6484426445410216,28.822912551033827,24.374469906492827,43.635366095641245,21.532690654143789,40.075286063893138
TX,389,38.616660509789433,32.050955761878754,55.50087383943201,38.541580192972873,10.460659020571635,25.863772073548148,24.116238849444752,46.301459179903958,28.998725526413001,58.423808644255644
MT,093,40.958190759143527,66.204032503809046,71.050497714575926,64.106439817166077,7.6633062468258002,33.252574911122387,35.793443372270175,53.638136461428147,26.806879418092414,43.294431922958701
NC,055,37.754913590783019,40.662729692054242,65.019254002450069,56.311059012376965,12.774827862966241,26.262738140497614,24.422417944493727,43.115178152336242,18.471359078301688,36.048231278002994
VA,127,37.558747004450531,35.242467506229389,73.508929894268974,65.366940534716164,35.68946730419556,24.234110041080214,20.874119469324533,35.275987675453607,14.696733995207122,28.600588839438551
OR,003,40.265609681058336,70.298201247025972,75.260367954713274,66.253659036836453,17.514640249405204,35.863399376486967,36.527477643777182,62.467488462721761,36.494088811403948,58.034874371859281
OR,007,42.485432580538024,61.419134008635019,69.015011624045201,58.046529392228514,12.20425107937562,32.23784041846563,32.971251245433415,51.359598140152791,26.932177847891072,46.595105446695449
MS,145,38.462763981564294,20.76674004264979,61.21163238632456,53.154048290568895,23.813427804911601,27.578434339960118,24.113702964848319,34.856394029029389,10.471706679507465,18.660129325170246
WI,065,41.142814689025684,37.116488630354318,69.396393442622966,60.746176626123741,14.669063987308302,30.430026441036492,35.07641459545215,30.294587136489071,13.972596051793673,26.385448949267673
OK,131,38.044469022329857,25.825687241398853,65.854726142568325,55.230059135823453,20.405530049689204,25.246299760055887,30.526063216762068,31.177160999980948,14.364184512118378,24.955157224309218
OK,081,39.761526334228655,25.995989103344343,63.388970034196959,52.361687822407703,19.369153190749437,25.013626615661053,32.419150292702732,27.805261006656551,13.010673829265446,23.389086768655837
FL,059,44.049688245002741,15.666651501364877,60.013475887170166,53.36565969062783,7.6979071883530512,20.278525932666064,34.513084622383992,22.822932330827069,10.368457729690078,18.602035576746747
MI,149,34.22715634184943,39.708811423771515,63.725767884642316,51.013184936301236,13.370356992860149,20.446918661626754,22.230508189836204,30.679838345014694,12.699369771648202,27.599236943251185
NY,079,31.894917543859666,48.043292982456151,68.8407543859649,61.761012280701742,31.462864912280708,18.825889473684196,15.609973684210527,42.467022807017536,25.294752631578941,38.980422807017547
LA,007,42.009076027646401,34.493752273554023,59.66484176064025,55.616878865041826,32.634849036013094,20.931056747908336,26.625572935612951,42.254083303019279,22.284867224445254,37.981193161149505
