state_abbrev,fips,age_group,race,registered
LA,013,35-64,Other,11
TX,191,18-34,African-American,10
TX,057,65+,Asian,41
TX,457,65+,Hispanic,5
KY,157,65+,Uncoded,13
ME,005,65+,Asian,46
VA,700,65+,Native American,3
OH,045,18-34,Native American,3
NY,035,18-34,African-American,6
NC,115,65+,Other,15
NC,075,35-64,Other,8
KY,019,65+,Hispanic,5
CT,003,65+,Native American,4
WV,007,35-64,Uncoded,10
IA,007,18-34,Uncoded,6
CO,111,35-64,Uncoded,2
SC,001,65+,Asian,4
UT,025,18-34,Uncoded,6
NE,149,65+,Uncoded,2
ID,077,35-64,Native American,1
GA,211,65+,Uncoded,3
PA,013,18-34,Other,2
KS,067,65+,African-American,2
TX,169,65+,African-American,8
VA,730,65+,Native American,2
TN,021,35-64,Native American,2
NC,041,35-64,Native American,3
TN,069,35-64,Asian,2
TX,465,65+,Native American,0
MI,023,35-64,African-American,3
TX,111,35-64,African-American,6
VT,017,35-64,African-American,5
AL,105,18-34,Hispanic,2
IL,203,65+,Asian,2
NJ,005,65+,Native American,5
AL,037,65+,Uncoded,0
OH,133,18-34,Other,1
KS,193,35-64,Native American,1
PA,093,65+,Asian,2
KY,037,35-64,Native American,1
NE,111,65+,Asian,5
KY,203,18-34,Uncoded,4
MI,061,35-64,Hispanic,5
IL,101,65+,African-American,5
TN,041,18-34,African-American,13
WV,049,35-64,Asian,3
CO,093,35-64,African-American,1
MO,083,65+,African-American,7
MO,153,35-64,Hispanic,6
ND,057,18-34,Uncoded,7
MN,061,35-64,Asian,4
IL,061,35-64,African-American,1
IL,025,65+,African-American,3
PA,001,35-64,Native American,6
SC,037,18-34,Native American,3
AK,188,35-64,Asian,1
PA,109,65+,Hispanic,3
KY,053,18-34,African-American,3
NC,149,35-64,Native American,2
MT,105,35-64,Hispanic,1
ME,023,18-34,African-American,3
GA,083,65+,African-American,9
MT,071,18-34,Hispanic,1
MN,017,65+,African-American,2
MI,043,18-34,Native American,1
FL,029,18-34,Asian,2
IN,145,65+,Asian,2
MT,017,65+,Native American,2
OR,067,35-64,Other,4
OR,013,18-34,Asian,1
OH,023,35-64,Native American,2
WV,041,65+,Hispanic,1
NC,177,18-34,Uncoded,1
IL,187,35-64,Asian,3
IA,031,18-34,Native American,0
VT,009,18-34,Hispanic,0
NY,053,65+,African-American,1
WV,045,35-64,Hispanic,1
OH,157,18-34,Native American,1
MI,115,18-34,Asian,7
ID,075,65+,Native American,2
KS,121,65+,Asian,2
TX,035,65+,Native American,2
WI,035,18-34,African-American,1
TX,249,35-64,Native American,2
IN,175,35-64,Other,1
NC,077,65+,Native American,8
NC,029,18-34,Uncoded,4
AL,053,65+,Other,8
WI,107,65+,Native American,0
ID,015,18-34,Hispanic,5
TX,335,65+,Native American,0
LA,043,65+,Other,17
CO,081,35-64,African-American,4
MD,013,18-34,Native American,7
CO,027,18-34,Uncoded,4
TN,067,65+,African-American,3
WI,135,35-64,African-American,3
GA,239,35-64,Asian,2
VA,079,35-64,Asian,11
TX,015,18-34,Asian,3
AS,,35-64,African-American,1
PA,047,18-34,Native American,1
KS,089,18-34,Hispanic,3
MO,027,35-64,Native American,4
CO,071,65+,Native American,3
AL,119,18-34,Other,3
OH,075,65+,Asian,3
KY,239,18-34,Other,1
MN,115,65+,African-American,2
NE,089,18-34,Hispanic,4
IA,087,18-34,African-American,7
GA,269,18-34,Uncoded,0
TX,363,65+,Native American,0
AR,075,18-34,Hispanic,3
KY,155,18-34,Asian,1
VA,033,18-34,Asian,2
OK,091,35-64,Asian,3
WI,043,65+,Hispanic,1
IL,185,18-34,African-American,0
TX,287,35-64,Native American,2
KY,033,65+,Native American,1
NM,019,65+,Uncoded,2
OH,087,65+,Asian,1
IA,189,65+,Hispanic,2
WA,055,65+,Hispanic,2
NE,005,18-34,Native American,2
VA,021,35-64,African-American,1
VA,043,18-34,Asian,4
OK,039,18-34,Other,1
PA,025,18-34,Native American,1
OH,105,18-34,Asian,1
MI,155,65+,African-American,4
LA,085,18-34,Caucasian,1287
GA,283,35-64,African-American,401
NE,037,35-64,Caucasian,1318
TN,075,65+,African-American,1091
TX,305,35-64,Hispanic,237
AZ,007,65+,Hispanic,695
TX,061,18-34,Uncoded,386
KY,171,35-64,African-American,31
GA,179,35-64,Uncoded,91
ND,025,65+,Caucasian,578
PA,075,35-64,Uncoded,1240
TN,063,35-64,African-American,282
TX,,65+,Uncoded,91
MD,039,18-34,Caucasian,1379
ND,079,18-34,Native American,103
LA,073,65+,Uncoded,3
NY,083,18-34,African-American,378
VA,600,35-64,Hispanic,368
GA,013,18-34,African-American,1103
OK,141,35-64,Caucasian,864
GA,003,18-34,African-American,114
PA,005,18-34,Uncoded,43
AL,015,35-64,Hispanic,231
TX,363,18-34,Hispanic,342
FL,043,65+,Caucasian,1683
NV,510,65+,Asian,16
CO,055,65+,Caucasian,1059
GA,321,18-34,African-American,579
GA,029,18-34,Uncoded,40
MS,115,65+,African-American,435
VA,127,18-34,Caucasian,2529
OH,061,65+,Asian,237
NC,019,35-64,Asian,99
GA,115,35-64,Hispanic,440
SD,099,18-34,Uncoded,472
IA,013,65+,Asian,22
TX,397,18-34,Hispanic,1308
TX,047,35-64,Caucasian,114
AR,067,65+,Uncoded,9
AZ,001,18-34,Uncoded,117
NY,077,35-64,Uncoded,225
IA,193,65+,Uncoded,208
OK,153,35-64,Hispanic,80
MS,109,65+,Uncoded,123
KS,075,65+,Caucasian,229
OK,027,65+,Native American,74
TX,425,18-34,Caucasian,681
GA,011,65+,Caucasian,2208
TX,321,65+,African-American,302
GA,287,65+,African-American,319
NM,043,18-34,Uncoded,418
GA,295,35-64,African-American,454
KY,117,65+,Uncoded,176
GA,185,18-34,Asian,161
SD,073,35-64,Caucasian,319
KY,211,35-64,Uncoded,197
GA,143,18-34,African-American,113
GA,157,65+,African-American,428
AZ,,18-34,Uncoded,171
MN,003,18-34,African-American,471
FL,121,35-64,African-American,743
MO,047,65+,African-American,158
MO,119,18-34,Native American,4
GA,209,35-64,African-American,350
CA,041,35-64,Hispanic,1589
MS,101,65+,African-American,758
LA,087,65+,Uncoded,4
AZ,017,35-64,Hispanic,658
FL,079,18-34,African-American,505
ME,003,18-34,African-American,13
IN,001,65+,Hispanic,38
NC,065,35-64,Asian,9
FL,093,35-64,African-American,322
TX,073,18-34,Hispanic,582
MN,123,65+,Asian,1412
SC,081,18-34,Hispanic,96
OR,035,65+,Uncoded,266
ND,103,18-34,Caucasian,164
OK,001,18-34,Uncoded,131
FL,133,18-34,African-American,297
VA,047,18-34,African-American,400
TX,087,35-64,Caucasian,430
NC,127,35-64,Other,247
TN,035,65+,Uncoded,107
WA,065,65+,African-American,6
LA,055,65+,Uncoded,6
TX,001,65+,Uncoded,120
VA,680,35-64,Hispanic,23
IL,125,65+,Uncoded,7
NY,099,65+,Hispanic,1
VA,161,18-34,Uncoded,415
PA,069,35-64,African-American,134
SC,041,65+,Asian,75
ND,079,18-34,Caucasian,108
FL,055,35-64,Asian,294
FL,123,65+,African-American,310
ID,011,35-64,Native American,106
NC,129,18-34,Other,650
WI,021,65+,African-American,15
TX,185,35-64,Hispanic,479
CA,101,65+,Asian,993
MS,161,35-64,Hispanic,3
NY,051,35-64,African-American,12
TN,017,65+,African-American,336
FL,065,18-34,African-American,367
WY,037,18-34,Hispanic,36
VA,069,35-64,Hispanic,220
SD,045,65+,Caucasian,503
GA,115,65+,Uncoded,17
LA,109,18-34,Other,203
OK,131,35-64,Native American,168
NY,029,65+,Asian,360
MT,103,18-34,Caucasian,41
MD,035,35-64,African-American,329
IA,069,18-34,Caucasian,873
SC,053,35-64,Hispanic,152
AR,053,18-34,Uncoded,29
NM,005,35-64,Uncoded,201
MN,067,65+,Uncoded,42
GA,125,18-34,Caucasian,305
MN,149,18-34,Uncoded,19
TX,357,18-34,Uncoded,56
NC,097,65+,Hispanic,242
TX,331,35-64,African-American,261
VA,069,65+,Uncoded,221
OH,045,35-64,Hispanic,30
MI,037,65+,Uncoded,166
MI,091,65+,Uncoded,250
IL,019,18-34,Hispanic,188
AK,013,35-64,Uncoded,5
SD,105,18-34,African-American,1
VA,175,18-34,Native American,2
MN,069,35-64,Hispanic,1
AR,039,35-64,Asian,2
KY,205,18-34,Hispanic,3
IL,147,35-64,African-American,3
ME,011,65+,Hispanic,4
IL,191,35-64,African-American,2
CO,071,18-34,Asian,1
WA,059,35-64,Native American,4
PA,111,18-34,Hispanic,2
GA,263,18-34,Asian,3
ID,065,35-64,African-American,2
WI,131,18-34,Asian,7
NY,027,35-64,Native American,5
VA,197,35-64,Hispanic,8
SD,,18-34,Hispanic,1
MN,145,65+,Native American,5
MN,173,35-64,Hispanic,4
TN,015,65+,Hispanic,1
NC,015,18-34,Other,14
WI,049,18-34,Hispanic,3
TX,301,65+,Caucasian,3
MD,009,35-64,Other,2
SD,081,18-34,Asian,1
VT,019,35-64,African-American,3
MT,049,18-34,Native American,12
NE,069,35-64,African-American,2
IA,129,35-64,Hispanic,10
PA,095,35-64,Native American,6
AR,099,65+,Hispanic,3
OK,149,35-64,African-American,2
IN,111,65+,Hispanic,5
TX,307,18-34,African-American,5
GU,,18-34,Uncoded,3
KY,057,35-64,Hispanic,1
OH,103,35-64,Other,1
MI,029,65+,Hispanic,5
MN,031,18-34,Native American,5
KS,107,35-64,Native American,3
NH,019,18-34,Hispanic,1
PA,131,65+,African-American,1
IN,181,65+,Native American,3
TX,013,18-34,Other,1
IA,033,65+,Asian,6
MO,185,65+,Native American,1
IN,137,65+,Hispanic,3
KS,115,18-34,African-American,3
LA,003,35-64,Uncoded,0
MT,,65+,Native American,1
CO,067,18-34,African-American,5
GA,235,18-34,Native American,3
SD,053,35-64,Asian,1
OK,001,35-64,Other,1
MO,161,18-34,Other,2
MO,015,35-64,Hispanic,4
GA,037,18-34,Asian,2
UT,033,35-64,Uncoded,7
IN,063,35-64,Other,4
SD,073,65+,Uncoded,9
AL,005,65+,Hispanic,2
GA,053,65+,Other,1
WI,045,65+,African-American,2
MO,119,35-64,Native American,8
GA,163,65+,Asian,3
WV,103,35-64,African-American,3
IA,101,65+,Asian,8
ID,083,18-34,Asian,1
PA,089,18-34,Other,1
NY,083,35-64,Other,3
GA,205,65+,Asian,4
VA,610,18-34,African-American,9
KS,205,35-64,African-American,6
OH,067,18-34,Uncoded,3
NH,005,18-34,African-American,3
LA,013,65+,Uncoded,0
MN,109,65+,Native American,4
CO,039,35-64,Other,1
MT,071,35-64,Hispanic,1
VA,031,35-64,Native American,4
OH,053,65+,Hispanic,1
ND,057,35-64,Hispanic,0
NM,041,18-34,Other,1
MI,031,18-34,African-American,0
TN,021,35-64,Other,1
AR,137,35-64,Native American,1
MN,019,35-64,Other,1
NE,103,18-34,Hispanic,1
AZ,001,65+,African-American,5
CA,057,65+,Other,1
VA,595,18-34,Uncoded,9
ID,081,18-34,Other,1
AZ,021,35-64,Other,4
TX,001,65+,Native American,3
MO,137,18-34,Hispanic,3
AR,097,18-34,Uncoded,8
MN,015,18-34,Asian,2
VT,005,35-64,African-American,2
AR,141,18-34,Native American,1
SD,041,18-34,Uncoded,1
MO,181,18-34,Native American,1
CT,007,35-64,Other,2
IN,099,65+,African-American,6
GA,283,18-34,Asian,1
TN,035,35-64,Native American,5
OH,023,18-34,Native American,2
IN,159,35-64,African-American,2
OK,061,18-34,African-American,4
KY,043,35-64,Hispanic,1
VA,735,35-64,Asian,8
WI,119,65+,African-American,2
OK,007,35-64,Native American,0
WV,049,18-34,Asian,1
TN,111,65+,Native American,2
MD,041,35-64,Native American,2
CO,049,65+,Hispanic,4
MS,059,65+,Other,1
MI,109,65+,African-American,8
TN,067,35-64,Native American,1
CA,009,65+,Asian,2
ME,001,35-64,Other,2
MS,075,18-34,Asian,3
KY,057,65+,Uncoded,7
WI,115,65+,Asian,2
KS,147,35-64,African-American,2
VA,001,18-34,Asian,3
NJ,031,18-34,Other,5
OR,063,35-64,African-American,4
GA,011,65+,Asian,18
IN,133,35-64,Hispanic,5
TX,299,18-34,African-American,3
MO,213,35-64,African-American,18
KY,073,35-64,Asian,21
LA,083,65+,Hispanic,6
MS,141,18-34,Hispanic,3
ND,105,65+,Other,3
PA,083,35-64,Hispanic,10
AS,,35-64,Uncoded,8
MS,151,65+,Asian,2
KS,163,18-34,African-American,3
ND,097,35-64,African-American,2
DE,001,35-64,Native American,16
OR,061,65+,Asian,3
CO,085,65+,African-American,6
NE,051,65+,Hispanic,8
OH,109,18-34,Asian,10
VA,107,35-64,Native American,13
CA,087,65+,Native American,7
VA,197,35-64,Asian,1
VT,,18-34,African-American,1
IL,055,65+,Asian,2
NM,061,18-34,Other,1
NC,033,65+,Other,17
VT,003,18-34,African-American,2
KS,,35-64,Native American,2
TX,341,35-64,Asian,9
CO,117,18-34,Asian,2
NY,111,35-64,Native American,10
NY,021,65+,Asian,14
MI,105,65+,Native American,3
NC,177,35-64,Native American,1
MN,049,65+,Asian,2
NV,005,18-34,African-American,2
MN,051,18-34,Uncoded,4
SC,011,65+,Uncoded,1
IA,119,35-64,Native American,2
LA,053,65+,Asian,3
KY,143,65+,Uncoded,3
IL,167,35-64,Native American,7
AR,067,35-64,Hispanic,1
MN,127,65+,Asian,9
PA,071,65+,Other,1
TN,067,65+,Uncoded,2
TN,099,35-64,Other,1
IA,145,35-64,Asian,2
LA,043,65+,Uncoded,0
GA,107,65+,Hispanic,7
ND,045,35-64,African-American,2
LA,123,65+,Hispanic,5
TN,053,35-64,Asian,0
IN,171,35-64,Asian,1
OH,025,65+,Other,2
TX,501,35-64,Native American,1
TX,503,35-64,Asian,5
AR,099,65+,Asian,0
VA,678,35-64,Asian,1
IA,005,35-64,African-American,4
PA,133,35-64,Native American,4
TX,233,18-34,African-American,7
CA,063,65+,Native American,3
WA,059,18-34,Native American,3
MO,217,35-64,African-American,1
WA,013,65+,Asian,5
TX,331,35-64,Asian,4
AK,220,65+,Hispanic,6
SC,009,65+,Uncoded,0
CO,119,18-34,Native American,2
PA,091,35-64,Other,8
AR,047,65+,African-American,4
IA,039,65+,African-American,3
MI,137,35-64,Native American,3
KY,025,35-64,African-American,5
OH,125,18-34,Native American,1
MI,079,35-64,African-American,2
KY,129,35-64,Uncoded,6
CO,075,35-64,African-American,4
NJ,027,18-34,Native American,9
NC,139,18-34,Asian,13
KY,085,65+,Native American,2
AZ,011,35-64,African-American,4
KY,115,35-64,African-American,4
KS,099,35-64,Asian,4
TN,091,65+,African-American,3
WI,045,18-34,Hispanic,4
IN,095,65+,Native American,5
MI,089,65+,Hispanic,7
GA,091,35-64,Asian,6
OH,033,35-64,Other,1
VA,163,65+,Asian,5
MI,059,35-64,Other,2
LA,013,65+,Native American,1
VA,141,65+,Uncoded,12
MO,167,35-64,Native American,4
NE,129,35-64,Uncoded,15
PA,095,18-34,Native American,5
IN,017,35-64,Native American,2
MA,011,65+,Native American,1
OH,113,35-64,Native American,9
MO,055,35-64,African-American,7
NE,049,18-34,Uncoded,4
WV,085,35-64,Uncoded,4
LA,035,18-34,Asian,1
VA,680,65+,Hispanic,5
KS,039,18-34,Uncoded,3
UT,013,65+,African-American,1
GA,025,18-34,Native American,6
CO,027,35-64,Native American,1
IN,077,18-34,African-American,3
NC,043,65+,Other,5
KY,027,18-34,African-American,7
WA,003,35-64,African-American,3
KY,111,65+,Other,6
WA,025,35-64,Native American,15
WV,103,18-34,African-American,4
SD,037,35-64,Native American,9
MS,161,65+,Hispanic,2
MO,029,18-34,Other,1
TN,077,35-64,Asian,5
VA,143,65+,Native American,3
ME,027,18-34,Hispanic,3
KS,107,65+,Hispanic,5
IN,151,35-64,Native American,3
WV,041,18-34,African-American,1
VA,035,18-34,Other,1
MO,087,35-64,Uncoded,8
KY,235,18-34,Hispanic,3
TN,185,35-64,Asian,3
OR,,35-64,Native American,2
IL,029,35-64,Native American,2
SC,009,65+,Hispanic,1
GA,163,35-64,Native American,5
IA,133,65+,Uncoded,1
MT,009,18-34,Uncoded,6
SC,021,18-34,Native American,4
TN,059,65+,Asian,0
IL,185,18-34,Uncoded,9
GA,253,35-64,Native American,3
NY,087,18-34,Other,6
MI,103,65+,African-American,17
PA,107,18-34,Other,1
TX,423,35-64,Other,2
UT,,18-34,Asian,1
VA,530,35-64,Hispanic,4
OR,021,18-34,Hispanic,5
IA,,18-34,Native American,1
CA,049,35-64,Asian,3
OH,155,35-64,Asian,17
CA,103,18-34,Other,1
UT,023,65+,Hispanic,1
OH,,35-64,Asian,8
MS,141,35-64,Asian,1
MO,225,35-64,Other,1
TX,483,35-64,Asian,2
WV,005,18-34,Uncoded,9
NY,039,18-34,Native American,3
OK,021,35-64,Asian,8
OH,085,18-34,Native American,5
AL,041,35-64,Uncoded,7
MI,157,35-64,Native American,3
KS,175,35-64,Native American,1
GA,209,65+,Other,1
AK,110,18-34,African-American,2
NC,143,35-64,Native American,4
NM,047,35-64,African-American,4
AS,,65+,Uncoded,1
IL,003,35-64,Native American,0
OH,011,65+,Asian,2
AR,121,65+,Uncoded,7
AL,007,35-64,Asian,3
AA,,35-64,Other,2
GA,167,35-64,Asian,3
NC,173,35-64,Hispanic,6
UT,025,35-64,African-American,1
MS,095,35-64,Hispanic,2
WY,029,18-34,African-American,3
IL,013,18-34,Uncoded,3
WV,061,35-64,Other,2
OH,003,35-64,Native American,2
PA,013,65+,Native American,2
MN,129,18-34,African-American,1
AR,049,18-34,Native American,1
RI,003,18-34,Native American,2
ME,015,65+,Asian,2
AK,013,65+,Native American,1
SD,043,65+,Native American,1
CA,051,18-34,African-American,3
WI,029,65+,African-American,2
KS,007,35-64,Hispanic,4
WV,043,65+,African-American,1
TX,199,65+,Asian,1
AR,021,35-64,Asian,0
TX,115,35-64,Asian,1
CO,063,35-64,African-American,2
WI,067,65+,Native American,2
PA,011,35-64,Other,3
MN,085,18-34,Native American,2
KS,063,35-64,Uncoded,8
AR,143,18-34,Other,1
ND,025,35-64,African-American,3
SD,069,65+,Native American,3
IN,077,35-64,Native American,2
KS,181,35-64,Asian,1
ID,069,35-64,Asian,2
MT,011,18-34,Uncoded,5
OH,091,35-64,Other,1
CA,079,18-34,Other,1
TN,071,65+,Hispanic,2
CO,065,35-64,Native American,2
TX,287,35-64,Asian,1
KS,031,35-64,Asian,3
IA,157,18-34,Hispanic,8
NE,129,35-64,Hispanic,2
SD,069,18-34,Uncoded,2
MO,011,35-64,African-American,1
OH,067,65+,Hispanic,1
RI,001,65+,Hispanic,8
MO,155,35-64,Asian,2
GA,,65+,Native American,2
OH,111,18-34,African-American,1
AL,067,18-34,Uncoded,4
IN,171,35-64,African-American,1
MI,003,35-64,African-American,2
IN,141,18-34,Other,4
MN,017,35-64,Hispanic,2
OK,093,65+,Hispanic,2
ND,011,18-34,Uncoded,2
KS,099,65+,Asian,3
IN,007,65+,African-American,2
TN,153,18-34,African-American,1
NC,193,65+,Asian,13
TN,021,35-64,Asian,2
TX,429,18-34,African-American,2
GA,083,18-34,Asian,5
IL,069,35-64,Other,1
AR,121,65+,African-American,4
NH,019,65+,Hispanic,0
IA,197,65+,African-American,2
KY,129,65+,Uncoded,1
KS,169,35-64,Native American,2
GA,079,65+,Native American,3
IN,063,65+,Native American,2
IN,171,65+,Asian,2
TX,357,35-64,African-American,3
LA,023,35-64,Other,7
CO,089,65+,Asian,1
IA,031,18-34,Asian,1
VA,033,35-64,Native American,2
AR,023,65+,Native American,1
WA,071,35-64,Native American,2
WV,099,35-64,Hispanic,1
MI,043,18-34,African-American,1
NY,049,35-64,Native American,1
SD,075,65+,Uncoded,0
OH,145,65+,Asian,1
LA,029,65+,Hispanic,5
TX,473,18-34,Other,1
NC,029,18-34,Native American,2
MA,009,65+,Other,4
CO,039,65+,African-American,1
NE,021,65+,Native American,3
SD,123,35-64,Hispanic,1
CA,045,18-34,African-American,5
KY,197,18-34,Uncoded,12
AR,087,18-34,African-American,2
CO,045,35-64,Native American,5
IN,069,65+,Asian,1
IL,041,35-64,African-American,4
TX,425,65+,Native American,1
KS,071,18-34,African-American,1
ND,081,18-34,African-American,0
GA,019,65+,Other,4
UT,037,35-64,African-American,3
TN,095,18-34,Hispanic,1
WI,099,65+,Asian,4
IN,077,65+,Asian,2
NY,069,65+,Native American,1
IN,037,65+,African-American,3
NE,013,65+,Native American,0
IN,013,18-34,Hispanic,2
OH,073,18-34,Other,1
MI,079,18-34,African-American,3
ID,051,35-64,African-American,3
MN,159,65+,Hispanic,1
MN,131,35-64,Other,1
NH,001,18-34,Hispanic,3
VA,181,35-64,Native American,1
KS,041,65+,Asian,1
NM,055,65+,African-American,4
MT,087,65+,Hispanic,3
ID,015,18-34,Asian,2
WA,067,65+,Other,1
TN,065,65+,Other,4
IA,015,65+,Native American,2
MI,019,18-34,Other,1
IA,059,18-34,Hispanic,1
MN,001,35-64,Hispanic,1
KS,007,18-34,Hispanic,2
KY,013,65+,Native American,1
ND,021,35-64,Asian,1
MI,059,35-64,Native American,3
TX,213,18-34,Native American,1
PA,123,35-64,Native American,1
NE,015,35-64,Uncoded,1
MA,023,35-64,Other,3
NE,159,65+,African-American,2
MT,105,18-34,Hispanic,1
IL,027,65+,Hispanic,4
OK,079,65+,Other,1
MI,041,18-34,Asian,1
NM,003,35-64,Native American,2
AL,075,65+,Asian,2
NE,155,35-64,African-American,1
UT,029,18-34,Hispanic,2
NY,065,18-34,Other,2
IL,101,18-34,Hispanic,1
VA,057,65+,Asian,2
ND,065,65+,Asian,1
MI,045,35-64,Other,1
NE,,35-64,Asian,0
IL,053,65+,Hispanic,4
MN,067,35-64,Native American,5
MA,011,65+,Other,1
VA,770,18-34,Native American,3
OH,125,35-64,Asian,1
TX,463,35-64,Native American,0
SD,127,65+,African-American,2
WI,115,65+,African-American,2
MO,039,65+,African-American,1
ME,029,35-64,Other,1
VA,035,18-34,Native American,1
CO,029,65+,Asian,2
MN,135,18-34,Native American,1
SC,001,18-34,Uncoded,1
NE,069,35-64,Uncoded,1
CO,093,18-34,Asian,1
NE,127,35-64,Hispanic,1
MO,167,65+,African-American,1
LA,091,18-34,Uncoded,0
AR,107,18-34,Hispanic,1
MT,009,65+,African-American,1
OH,169,18-34,Native American,3
CT,007,18-34,Native American,1
KY,165,65+,African-American,2
NE,053,65+,Asian,2
OH,169,35-64,Other,4
TX,403,65+,Asian,1
MO,209,18-34,African-American,4
IL,081,65+,Native American,2
MN,115,18-34,Hispanic,2
ID,053,18-34,Native American,1
WV,023,35-64,Hispanic,1
KS,135,65+,African-American,0
KS,,35-64,Other,1
IA,095,18-34,Native American,1
AR,071,35-64,Native American,2
NM,009,65+,Asian,2
IA,079,35-64,Native American,3
MS,149,65+,Asian,0
ID,025,18-34,African-American,1
WI,021,18-34,African-American,2
OK,077,65+,Hispanic,2
ID,049,18-34,African-American,1
MN,077,65+,Uncoded,1
CO,119,35-64,Native American,1
MT,023,35-64,Other,1
IA,005,18-34,Asian,1
NM,023,35-64,Asian,0
NM,019,35-64,Asian,1
TN,143,35-64,Asian,1
OH,027,65+,Hispanic,1
NY,,18-34,Other,1
OH,067,65+,Native American,1
MO,185,35-64,African-American,1
ND,065,35-64,African-American,1
MT,073,65+,Hispanic,1
WI,091,65+,Native American,1
VA,113,18-34,Other,1
KY,045,18-34,African-American,3
PA,113,35-64,Hispanic,1
PA,097,65+,Native American,0
GA,253,35-64,Asian,4
MT,063,35-64,Asian,20
TN,087,65+,Hispanic,0
KS,025,65+,Hispanic,0
NY,025,35-64,Asian,7
KY,147,18-34,Uncoded,6
MO,057,35-64,Hispanic,2
MI,135,18-34,Native American,1
OK,077,35-64,African-American,2
TN,035,18-34,African-American,7
MT,047,65+,African-American,3
MO,121,65+,Uncoded,14
SC,025,65+,Native American,13
MT,035,35-64,Hispanic,6
KS,127,35-64,Uncoded,23
AR,125,65+,Hispanic,7
PA,115,65+,Hispanic,3
WV,017,65+,Uncoded,7
GA,233,18-34,Native American,11
KS,041,18-34,Uncoded,32
TX,409,65+,Asian,4
GA,143,18-34,Uncoded,7
WI,037,18-34,African-American,0
AL,051,65+,Uncoded,2
GA,143,35-64,Native American,20
MI,129,35-64,Asian,3
MN,059,35-64,African-American,24
TX,025,65+,African-American,8
GA,189,18-34,Native American,8
NE,167,18-34,African-American,1
MS,053,18-34,Hispanic,0
NM,029,18-34,Asian,1
SC,033,18-34,Hispanic,22
TX,089,35-64,Asian,3
LA,119,18-34,Uncoded,2
IN,123,35-64,Asian,2
MO,197,18-34,Uncoded,2
ND,073,35-64,African-American,2
CO,037,65+,African-American,5
TN,037,18-34,Native American,12
MD,510,35-64,Other,10
NV,021,18-34,Hispanic,1
KS,187,35-64,Uncoded,6
GA,075,65+,Uncoded,1
GA,141,35-64,Uncoded,1
NM,,18-34,African-American,1
IA,053,18-34,African-American,4
MN,117,35-64,Native American,3
TX,187,65+,Native American,4
WV,081,18-34,Asian,13
AR,047,35-64,Hispanic,6
VA,750,35-64,Hispanic,1
MS,067,65+,Hispanic,14
SD,009,18-34,Uncoded,5
KS,053,35-64,African-American,5
SD,093,65+,African-American,6
MA,011,35-64,African-American,23
TX,311,35-64,Hispanic,17
MO,023,35-64,Asian,7
KS,011,65+,Asian,1
NC,115,18-34,Uncoded,6
TX,459,35-64,Native American,4
LA,021,35-64,Other,9
GA,171,18-34,Asian,6
SD,081,18-34,Native American,3
IL,129,18-34,Uncoded,10
OH,023,65+,Asian,21
NY,013,18-34,Native American,2
AL,109,65+,Asian,9
GA,317,65+,Asian,3
WI,055,18-34,Other,1
CO,043,65+,African-American,7
MN,021,35-64,Asian,4
KY,183,18-34,Uncoded,31
OK,121,18-34,Native American,47
NM,043,65+,Asian,24
NM,035,65+,Asian,3
OR,031,35-64,African-American,2
AL,001,65+,Uncoded,4
MI,105,35-64,African-American,11
KS,029,18-34,Hispanic,7
IL,,65+,Native American,1
IA,147,35-64,Hispanic,1
MI,163,35-64,Other,18
IL,029,35-64,Asian,2
PA,015,65+,African-American,2
MO,207,18-34,Native American,1
AR,099,35-64,Hispanic,8
MN,077,35-64,Uncoded,3
OH,145,18-34,Other,1
WV,075,65+,Uncoded,1
ID,057,65+,African-American,6
OK,127,65+,African-American,5
FL,123,18-34,Native American,9
MN,037,65+,Other,1
MD,021,35-64,Native American,10
AL,029,65+,Uncoded,1
ID,035,65+,Uncoded,6
FL,049,65+,Uncoded,5
MI,017,35-64,Native American,5
ND,049,65+,Asian,1
NM,001,18-34,Other,8
SD,119,65+,Uncoded,7
NC,059,18-34,Native American,6
MN,151,35-64,Hispanic,4
MS,087,35-64,Other,2
ME,017,65+,Uncoded,39
WI,047,65+,Native American,1
NY,055,18-34,Other,11
WY,005,18-34,African-American,3
WV,091,65+,African-American,2
IA,061,35-64,Native American,7
GA,249,65+,Uncoded,0
NE,159,18-34,Hispanic,4
SD,007,18-34,Native American,19
CO,025,65+,Uncoded,13
ND,027,35-64,Native American,2
HI,009,35-64,Other,4
PA,107,18-34,African-American,18
MO,093,35-64,Hispanic,4
TX,045,35-64,Uncoded,6
SD,065,18-34,Hispanic,3
MO,117,35-64,Native American,1
CO,071,65+,African-American,1
SD,033,35-64,African-American,4
NY,077,18-34,Asian,9
SC,009,18-34,Asian,4
IN,145,18-34,Native American,2
KY,209,18-34,Asian,3
KS,157,18-34,Hispanic,1
WY,007,35-64,Native American,2
MO,183,65+,Other,1
SC,039,35-64,Native American,4
AR,005,35-64,Other,1
GA,189,35-64,Native American,8
OK,107,65+,Asian,2
IL,145,65+,Asian,1
FL,079,18-34,Native American,4
MO,067,18-34,Hispanic,3
IN,135,35-64,Asian,4
ND,041,35-64,Asian,2
LA,003,65+,Hispanic,6
IN,139,18-34,Other,1
AR,137,65+,Asian,1
TX,501,18-34,Native American,1
MS,109,35-64,Asian,3
WV,033,18-34,Other,1
