state_abbrev,fips,age_group,race,registered
CA,067,65+,Asian,13128
DE,003,18-34,African-American,12589
TX,469,35-64,Caucasian,10886
NJ,011,18-34,Caucasian,8753
TN,065,65+,Caucasian,40610
FL,057,35-64,African-American,47708
IA,181,18-34,Caucasian,6515
TN,097,18-34,Caucasian,1232
SC,003,65+,Caucasian,23437
MO,095,65+,African-American,1574
MO,031,35-64,Caucasian,16907
IN,061,35-64,Caucasian,10040
OH,103,35-64,Caucasian,47516
VT,019,35-64,Caucasian,5563
OR,047,35-64,Uncoded,3182
CA,085,35-64,Asian,106134
MD,013,18-34,Caucasian,23183
GA,139,18-34,Caucasian,15369
TX,201,18-34,African-American,53174
FL,091,65+,Caucasian,24102
CA,075,35-64,Caucasian,93514
MA,001,18-34,Uncoded,586
IL,167,35-64,Caucasian,45344
NY,011,18-34,Caucasian,6802
KY,009,35-64,Caucasian,9987
VA,139,35-64,Caucasian,5566
AL,127,18-34,Caucasian,6681
VT,009,65+,Caucasian,893
TN,149,35-64,Caucasian,62323
NJ,023,65+,African-American,2417
FL,099,35-64,African-American,42948
TX,123,35-64,Caucasian,2776
GA,165,35-64,African-American,574
NY,081,18-34,Hispanic,32378
VA,109,35-64,Caucasian,8311
TX,001,65+,Hispanic,101
VA,153,35-64,Caucasian,67320
LA,073,18-34,Caucasian,8928
AR,019,35-64,Caucasian,2923
LA,113,65+,Caucasian,6118
FL,081,18-34,Caucasian,23425
IA,145,65+,Caucasian,2814
TN,031,65+,Caucasian,7211
NC,067,18-34,African-American,10785
PA,027,65+,Caucasian,17531
CO,031,35-64,Caucasian,108610
FL,095,35-64,Uncoded,1303
KS,159,65+,Caucasian,1461
IN,095,65+,Caucasian,18637
WI,125,35-64,Caucasian,4629
CA,011,18-34,Hispanic,809
WY,033,65+,Caucasian,4704
WA,053,18-34,Caucasian,82055
LA,051,35-64,Caucasian,51270
NY,081,35-64,Caucasian,115579
LA,069,65+,African-American,1299
PA,021,35-64,Caucasian,27844
MT,049,35-64,Caucasian,16232
NY,009,18-34,Caucasian,6461
MD,003,65+,Uncoded,1868
VA,015,18-34,Caucasian,7756
CA,043,65+,Caucasian,3038
WA,005,35-64,Uncoded,2361
AZ,013,18-34,Uncoded,21620
MD,033,65+,Caucasian,21859
CA,069,35-64,Native American,7
KY,085,65+,Caucasian,3946
IL,161,18-34,Caucasian,9241
MD,017,65+,Caucasian,11019
FL,099,35-64,Other,6611
CA,037,18-34,Uncoded,41693
CT,009,18-34,Caucasian,64728
UT,033,35-64,Caucasian,308
IL,201,65+,Caucasian,37207
VA,153,18-34,Hispanic,8281
NJ,023,65+,Uncoded,5041
OH,019,35-64,Caucasian,6146
CA,065,18-34,African-American,4089
MI,005,65+,Caucasian,17664
MS,063,35-64,African-American,958
GA,257,65+,Caucasian,3579
MN,123,35-64,Uncoded,5070
HI,009,65+,Caucasian,9980
CA,033,65+,Caucasian,7804
NC,051,35-64,Caucasian,27703
TX,387,18-34,Caucasian,873
FL,117,65+,Hispanic,5203
KS,155,35-64,Caucasian,11874
OK,023,35-64,Caucasian,2057
VA,069,18-34,Caucasian,9580
AL,005,35-64,African-American,2358
OH,167,35-64,Caucasian,13819
TX,085,18-34,Uncoded,8770
NY,061,18-34,African-American,14946
MI,089,18-34,Caucasian,2143
TX,179,35-64,Caucasian,3037
IN,093,35-64,Caucasian,10565
AR,031,35-64,Caucasian,16909
NC,113,65+,Caucasian,7574
TX,167,18-34,Asian,338
GA,229,35-64,Caucasian,3881
TN,165,65+,Caucasian,22799
SC,051,65+,African-American,4221
LA,033,18-34,Caucasian,20754
NJ,023,35-64,Hispanic,15899
IL,039,35-64,Caucasian,3790
SC,083,18-34,Hispanic,1574
CA,063,65+,Caucasian,3081
VA,161,35-64,Caucasian,22606
FL,027,18-34,Hispanic,711
NJ,025,18-34,Uncoded,4147
OH,061,65+,African-American,15300
IL,201,35-64,African-American,3488
GA,045,18-34,Caucasian,10683
GA,073,35-64,Hispanic,1175
IA,009,18-34,Caucasian,630
AR,009,65+,Caucasian,5637
OH,049,35-64,Caucasian,221067
OH,153,65+,African-American,4900
TX,029,65+,Caucasian,103257
PA,071,35-64,Caucasian,103125
NY,059,35-64,Caucasian,223396
KS,045,35-64,Caucasian,22544
AZ,013,18-34,Caucasian,291221
MD,033,18-34,African-American,63373
SC,047,18-34,Caucasian,4119
LA,097,65+,African-American,3206
IL,183,18-34,Caucasian,4727
CA,089,18-34,Caucasian,12546
PA,025,65+,Caucasian,9395
MD,011,18-34,Caucasian,3281
MA,009,18-34,Caucasian,67987
MO,520,65+,Caucasian,18947
TX,061,65+,Hispanic,20343
CA,059,35-64,Hispanic,93347
MT,013,65+,Caucasian,11473
CO,101,35-64,Caucasian,22264
MN,025,35-64,Caucasian,14308
PA,101,35-64,African-American,115868
NJ,027,35-64,Asian,6104
MD,003,65+,Caucasian,63235
NY,021,35-64,Caucasian,12528
TX,423,35-64,Caucasian,35958
CO,035,35-64,Caucasian,91391
IA,113,35-64,Caucasian,53867
IN,033,18-34,Caucasian,4695
PA,003,18-34,Caucasian,130099
MI,125,65+,Uncoded,4105
OR,071,35-64,Caucasian,21780
FL,083,65+,Native American,271
IA,193,65+,Caucasian,12106
TN,157,35-64,Caucasian,84813
AZ,013,65+,Hispanic,31059
OH,,18-34,Caucasian,1172
GA,275,35-64,African-American,2964
VA,195,65+,Caucasian,4434
TN,125,35-64,African-American,5368
FL,105,35-64,African-American,19034
KS,173,18-34,Asian,898
CO,059,18-34,Caucasian,61874
CA,075,18-34,Asian,21420
VA,009,65+,Caucasian,4480
NH,005,35-64,Caucasian,14535
TN,093,35-64,Caucasian,93695
AR,125,65+,Caucasian,16607
GA,245,35-64,Caucasian,14054
SC,035,18-34,Caucasian,11247
IN,089,65+,Hispanic,3705
AK,020,35-64,Caucasian,53275
IN,117,35-64,Caucasian,4435
NJ,021,35-64,Caucasian,50988
IN,169,65+,Caucasian,5105
MO,101,35-64,Caucasian,10256
OH,113,18-34,Caucasian,45969
MN,097,65+,Caucasian,5423
MO,131,18-34,Caucasian,2792
VA,171,18-34,Caucasian,4220
IL,097,35-64,African-American,4089
NY,091,65+,Asian,55
MN,035,35-64,Caucasian,14535
FL,083,65+,Caucasian,70183
AL,065,35-64,Caucasian,1557
TX,143,35-64,Caucasian,5974
OR,017,35-64,Caucasian,47747
OH,123,35-64,Caucasian,9531
TN,185,18-34,Caucasian,2339
IN,113,65+,Caucasian,6075
NJ,035,18-34,Caucasian,31310
NY,061,35-64,African-American,30881
VA,023,35-64,Caucasian,8861
FL,035,35-64,Caucasian,19890
MN,081,65+,Caucasian,1061
LA,015,65+,Caucasian,10788
TX,309,18-34,Caucasian,17892
WV,065,18-34,Caucasian,1569
MO,095,65+,Caucasian,47852
ME,017,35-64,Caucasian,13109
MA,013,35-64,Uncoded,5147
LA,101,35-64,African-American,2581
IL,049,35-64,Caucasian,8474
IN,029,35-64,Caucasian,12865
FL,105,65+,Asian,1159
MS,107,65+,Caucasian,2941
MO,510,35-64,Caucasian,35641
CT,009,65+,Caucasian,100758
WI,039,35-64,Caucasian,24469
PA,121,35-64,Caucasian,11039
NY,029,18-34,Uncoded,4310
WV,107,65+,Caucasian,12656
IL,123,35-64,Caucasian,2763
OR,047,35-64,Caucasian,56992
FL,091,18-34,African-American,2142
FL,009,18-34,African-American,6229
WI,079,18-34,Uncoded,3106
IN,167,65+,Caucasian,13506
CA,001,35-64,Uncoded,22937
TX,005,65+,Caucasian,9325
TN,047,65+,Caucasian,5820
AZ,021,18-34,Caucasian,22023
CA,077,35-64,Hispanic,33852
AL,125,18-34,Caucasian,16436
CT,011,65+,Caucasian,38275
TX,259,65+,Uncoded,218
CO,001,35-64,Hispanic,20533
MA,013,65+,African-American,1654
OR,047,18-34,Hispanic,7456
LA,089,35-64,African-American,2477
NY,119,18-34,Caucasian,65117
NJ,005,18-34,African-American,6308
MA,017,18-34,Uncoded,11388
VA,610,35-64,Caucasian,3032
TX,491,35-64,African-American,1969
MN,049,35-64,Caucasian,10999
TN,061,35-64,Caucasian,2486
GA,243,35-64,Caucasian,507
MS,153,35-64,Caucasian,2848
MS,163,65+,African-American,1470
OR,061,35-64,Caucasian,5725
FL,087,35-64,Native American,94
CA,013,35-64,African-American,10873
NY,081,18-34,Asian,31596
MO,047,35-64,Caucasian,56592
TX,231,65+,Caucasian,10785
SC,057,65+,African-American,2226
OH,157,65+,Caucasian,13841
OH,171,65+,Caucasian,5854
CO,089,18-34,Hispanic,554
CA,093,35-64,Caucasian,6919
NC,019,35-64,Caucasian,26172
SC,001,35-64,African-American,1465
VA,041,35-64,African-American,12496
MO,117,18-34,Caucasian,1407
MS,033,35-64,African-American,6629
PA,001,35-64,Caucasian,22507
NC,155,65+,Caucasian,5029
NJ,005,35-64,Asian,2050
TN,141,65+,Caucasian,9856
TX,439,18-34,Asian,4606
AP,,35-64,Asian,273
FL,127,18-34,Hispanic,7398
OH,159,65+,Caucasian,6578
MD,031,18-34,African-American,11344
VA,149,65+,Caucasian,3591
NC,185,35-64,Native American,190
MO,037,65+,Caucasian,14931
TN,021,35-64,Caucasian,9606
MS,073,65+,Caucasian,7123
LA,101,18-34,Caucasian,2615
FL,075,65+,Caucasian,6788
SC,077,35-64,Hispanic,321
GA,141,65+,Caucasian,574
TX,163,35-64,Hispanic,1802
SC,025,18-34,African-American,1292
OH,081,18-34,Caucasian,6015
TX,343,65+,Caucasian,1690
WA,007,18-34,Uncoded,427
HI,009,35-64,Asian,6707
CO,041,65+,Hispanic,2725
CA,115,65+,Caucasian,5515
OH,015,65+,Caucasian,5969
MD,029,18-34,Caucasian,1540
CA,039,35-64,Hispanic,7765
OH,011,65+,Caucasian,7349
WI,003,65+,Caucasian,2601
KY,115,65+,Caucasian,2918
IL,043,65+,Asian,6012
MS,095,65+,African-American,1347
IN,003,35-64,Uncoded,2995
NJ,023,65+,Asian,11374
MI,103,65+,Caucasian,11093
TX,395,18-34,African-American,251
VT,015,65+,Caucasian,3407
IL,155,35-64,Caucasian,1385
PA,001,18-34,Hispanic,210
SC,,35-64,African-American,772
MN,091,65+,Caucasian,3553
MD,047,65+,Caucasian,10547
NC,159,35-64,African-American,4299
MI,143,35-64,Caucasian,5932
TX,035,65+,Caucasian,3128
NE,035,65+,Caucasian,1061
GA,067,35-64,Hispanic,7508
NC,009,65+,Caucasian,5193
GA,073,65+,Asian,627
MD,001,18-34,Caucasian,6900
NY,055,35-64,Hispanic,3796
NM,061,35-64,Native American,158
CA,019,18-34,Asian,5968
MI,149,65+,Caucasian,9023
WA,045,35-64,Caucasian,12623
OH,091,35-64,Caucasian,10672
MI,087,18-34,Caucasian,10344
GA,151,65+,Caucasian,13057
VA,059,35-64,Uncoded,15348
PA,049,65+,African-American,469
MS,043,65+,Caucasian,2219
GA,043,65+,Caucasian,1027
KS,151,65+,Caucasian,1438
NV,005,35-64,Hispanic,368
KY,207,65+,Caucasian,2871
TN,075,35-64,African-American,1714
IL,159,65+,Caucasian,2791
PA,053,65+,Caucasian,933
NY,003,65+,Caucasian,6373
IA,197,65+,Caucasian,2285
MI,013,35-64,Caucasian,1781
IN,003,35-64,African-American,4973
VA,121,18-34,Asian,175
KY,047,65+,Caucasian,6078
ID,073,65+,Caucasian,1181
CO,121,65+,Caucasian,844
GA,299,65+,Caucasian,3491
AR,091,35-64,Caucasian,6125
DC,001,18-34,Uncoded,3064
NE,157,35-64,Caucasian,6202
IL,011,65+,Caucasian,5889
GA,153,18-34,Caucasian,11014
SD,029,18-34,Caucasian,1955
GA,073,65+,Other,205
CO,091,35-64,Caucasian,1112
FL,105,65+,Hispanic,8532
IL,093,35-64,Uncoded,1804
CA,021,65+,Hispanic,293
WI,081,35-64,Caucasian,9492
IN,109,65+,Caucasian,10589
ID,041,18-34,Caucasian,1041
FL,071,65+,African-American,3994
CT,,65+,Caucasian,1126
MT,083,65+,Caucasian,1306
OK,081,18-34,Caucasian,2301
WV,043,65+,Caucasian,2276
VA,710,18-34,African-American,9214
IN,041,35-64,Uncoded,27
SD,067,65+,Caucasian,1047
IL,009,65+,Caucasian,782
OH,017,65+,African-American,768
GA,187,65+,Caucasian,4371
NM,001,65+,Uncoded,1490
MO,107,18-34,Caucasian,3600
FL,063,35-64,African-American,1880
AR,027,35-64,Caucasian,2318
SC,003,35-64,Asian,340
PA,029,18-34,African-American,1324
LA,077,65+,Caucasian,2016
WI,101,18-34,Uncoded,480
NC,161,18-34,Caucasian,5216
UT,047,35-64,Caucasian,4411
AL,055,18-34,Caucasian,8910
NY,085,18-34,African-American,3092
PA,025,65+,African-American,28
GA,189,65+,Caucasian,2096
MO,051,18-34,African-American,336
VA,083,18-34,African-American,1111
CA,101,35-64,Asian,2431
TX,167,65+,Uncoded,1333
GA,117,18-34,Caucasian,20744
TX,215,18-34,Hispanic,78661
CA,071,18-34,Hispanic,108813
MP,,35-64,Caucasian,11
TX,113,35-64,Hispanic,74367
TX,407,65+,Caucasian,3775
CA,097,35-64,Caucasian,77561
GA,057,65+,Caucasian,30777
SC,051,65+,Caucasian,70018
WV,089,65+,Caucasian,1624
IA,061,18-34,Caucasian,11733
VA,013,65+,Caucasian,15580
TX,171,35-64,Caucasian,5053
MA,013,18-34,Caucasian,34703
FL,061,65+,Caucasian,36391
CA,071,35-64,Caucasian,166083
FL,057,35-64,Caucasian,179955
UT,035,35-64,Caucasian,133897
CA,059,18-34,Asian,44698
CO,123,18-34,Hispanic,7309
KY,111,35-64,African-American,20071
MO,055,65+,Caucasian,3296
CA,067,35-64,Caucasian,192276
CA,037,18-34,African-American,43219
WA,033,18-34,Caucasian,195144
IL,097,35-64,Uncoded,8134
AL,103,65+,Caucasian,15671
FL,099,35-64,Caucasian,179353
TX,409,18-34,Hispanic,2965
OH,061,65+,Caucasian,84616
KY,227,35-64,Caucasian,24511
TX,201,65+,Hispanic,53502
WI,133,65+,Caucasian,72581
MO,123,65+,Caucasian,1713
IN,137,35-64,Caucasian,6779
AZ,015,18-34,Hispanic,1433
AR,033,35-64,Caucasian,10362
NC,067,18-34,Caucasian,24881
