geoid,age,race,population,registered,reg_frac
01069,35-64,Asian,459,150,0.32679738562091504
01069,35-64,Black,10317,5999,0.5814674808568382
01069,35-64,Other,184,160,0.8695652173913043
01069,35-64,White,28434,17564,0.6177111908278821
01069,35-64,Hispanic,1061,252,0.23751178133836004
01069,65+,Native American,22,29,1.3181818181818181
01069,65+,Asian,111,79,0.7117117117117117
01069,65+,Black,3100,2481,0.8003225806451613
01069,65+,Other,81,55,0.6790123456790124
01069,65+,White,14551,12172,0.836506082056216
01069,65+,Hispanic,211,73,0.3459715639810427
01071,18-34,Native American,148,56,0.3783783783783784
01071,18-34,Asian,78,13,0.16666666666666666
01071,18-34,Black,486,209,0.43004115226337447
01071,18-34,Other,49,37,0.7551020408163265
01071,18-34,White,8681,5183,0.5970510309872135
01071,18-34,Hispanic,389,85,0.2185089974293059
01071,35-64,Native American,295,168,0.5694915254237288
01071,35-64,Asian,71,31,0.43661971830985913
01071,35-64,Black,626,354,0.5654952076677316
01071,35-64,Other,152,29,0.19078947368421054
01071,35-64,White,19425,11689,0.6017503217503217
01071,35-64,Hispanic,465,73,0.15698924731182795
01071,65+,Native American,85,32,0.3764705882352941
01071,65+,Asian,9,12,1.3333333333333333
01071,65+,Black,241,186,0.7717842323651453
01071,65+,Other,5,9,1.8
01071,65+,White,9741,7703,0.7907812339595524
01071,65+,Hispanic,44,15,0.3409090909090909
01073,18-34,Native American,369,100,0.27100271002710025
01073,18-34,Asian,2904,839,0.28891184573002754
01073,18-34,Black,68783,35253,0.5125248971402817
01073,18-34,Other,3166,898,0.28363866077068856
01073,18-34,White,73977,42725,0.5775443718993741
01073,18-34,Hispanic,6810,1369,0.20102790014684288
01073,35-64,Native American,677,169,0.24963072378138848
01073,35-64,Asian,4503,1492,0.33133466577836995
01073,35-64,Black,107599,62220,0.5782581622505786
01073,35-64,Other,3147,1243,0.3949793454083254
01073,35-64,White,130791,82361,0.6297145828076856
01073,35-64,Hispanic,7363,1117,0.15170446828738285
01073,65+,Native American,200,99,0.495
01073,65+,Asian,747,393,0.5261044176706827
01073,65+,Black,35150,28753,0.8180085348506401
01073,65+,Other,162,359,2.2160493827160495
01073,65+,White,64804,54037,0.8338528485895932
01073,65+,Hispanic,816,181,0.22181372549019607
01075,18-34,Native American,1,3,3.0
01075,18-34,Asian,1,0,0.0
01075,18-34,Black,314,168,0.535031847133758
01075,18-34,Other,30,8,0.26666666666666666
01075,18-34,White,2067,1392,0.6734397677793904
01075,18-34,Hispanic,49,9,0.1836734693877551
01075,35-64,Native American,3,2,0.6666666666666666
01075,35-64,Asian,17,3,0.17647058823529413
01075,35-64,Black,608,345,0.5674342105263158
01075,35-64,Other,4,4,1.0
01075,35-64,White,4746,3026,0.6375895490939739
01075,35-64,Hispanic,21,6,0.2857142857142857
01075,65+,Native American,1,1,1.0
01075,65+,Asian,1,2,2.0
01075,65+,Black,239,168,0.702928870292887
01075,65+,Other,1,4,4.0
01075,65+,White,2714,2073,0.7638172439204127
01075,65+,Hispanic,30,0,0.0
01077,18-34,Native American,141,27,0.19148936170212766
01077,18-34,Asian,266,45,0.16917293233082706
01077,18-34,Black,2902,1141,0.39317711922811854
01077,18-34,Other,127,81,0.6377952755905512
01077,18-34,White,17721,9124,0.5148693640313752
01077,18-34,Hispanic,629,151,0.24006359300476948
01077,35-64,Native American,104,59,0.5673076923076923
01077,35-64,Asian,201,76,0.3781094527363184
01077,35-64,Black,3162,1887,0.5967741935483871
01077,35-64,Other,85,102,1.2
01077,35-64,White,30099,18599,0.6179275058972059
01077,35-64,Hispanic,686,139,0.20262390670553937
01077,65+,Native American,56,15,0.26785714285714285
01077,65+,Asian,40,34,0.85
01077,65+,Black,1148,940,0.818815331010453
01077,65+,Other,44,34,0.7727272727272727
01077,65+,White,16760,13666,0.8153937947494033
01077,65+,Hispanic,201,38,0.1890547263681592
01079,18-34,Native American,458,156,0.3406113537117904
01079,18-34,Asian,20,6,0.3
01079,18-34,Black,724,426,0.5883977900552486
01079,18-34,Other,75,13,0.17333333333333334
01079,18-34,White,5066,3280,0.6474536123174102
01079,18-34,Hispanic,245,63,0.2571428571428571
01079,35-64,Native American,800,193,0.24125
01079,35-64,Asian,27,15,0.5555555555555556
01079,35-64,Black,1577,939,0.595434369055168
01079,35-64,Other,3,94,31.333333333333332
01079,35-64,White,10776,7559,0.7014662212323682
01079,35-64,Hispanic,164,51,0.31097560975609756
01079,65+,Native American,291,28,0.09621993127147767
01079,65+,Asian,1,3,3.0
01079,65+,Black,731,550,0.7523939808481532
01079,65+,Other,1,14,14.0
01079,65+,White,4972,4465,0.8980289621882542
01079,65+,Hispanic,4,4,1.0
01081,18-34,Native American,121,25,0.2066115702479339
01081,18-34,Asian,2277,300,0.13175230566534915
01081,18-34,Black,10821,4994,0.46151002679974124
01081,18-34,Other,287,259,0.9024390243902439
01081,18-34,White,37578,15309,0.4073926233434456
01081,18-34,Hispanic,1980,346,0.17474747474747473
01081,35-64,Native American,103,45,0.4368932038834951
01081,35-64,Asian,2625,503,0.1916190476190476
01081,35-64,Black,13558,8710,0.6424251364508039
01081,35-64,Other,243,342,1.4074074074074074
